sid,name,country,n,bias,rmse,offset_km,elev,cell_lat,cell_lon,water_km,near_water
02732099999,KUOPIO RITONIEMI,Finland,2916,-0.11641195582427769,0.6565303903739793,1.0081486104636113,87.0,62.7914204733773,27.904433991759163,0.0,True
02733099999,LAPPEENRANTA KONNUNSUO,Finland,2899,-0.043589660076076966,1.069020374281999,2.0308622561662064,46.4,61.04956278356648,28.58098640563648,10.315284452840903,False
02734099999,PARIKKALA KOITSANLAHTI,Finland,2908,-0.15692047371005094,0.8477476280940378,2.3069716297619154,75.0,61.43425814986083,29.44020858739532,22.609999492945683,False
02736099999,JUVA PARTALA,Finland,2915,-0.15561349649576545,0.6632083145705109,1.933958726246706,111.5,61.891080809869614,27.91367204555561,17.704027185467304,False
02759099999,PORVOO HARABACKA,Finland,2913,0.08991041304604361,0.7610226318047418,3.06901317002892,23.5,60.3816179190732,25.55967730640387,7.449109186053138,True
02768099999,HEINOLA ASEMANTAUS,Finland,2912,0.040553063612717766,0.6703811732054333,2.629954255361157,92.0,61.21859802616257,26.078647170211752,1.9751213425130218,True
02771099999,JOUTSA LEIVONMAKI SAVENAHO,Finland,2910,-0.2710045170210481,0.795240877377946,2.192545757587913,146.0,61.8637531276496,26.099023142374733,6.945351167166214,True
02772099999,RANTASALMI RUKKASLUOTO,Finland,2916,-0.24667359026371208,0.8150876204832063,1.433853078892551,80.0,62.05918416938378,28.545959293780527,0.0,True
02778099999,SAVONLINNA PUNKAHARJU,Finland,2911,-0.5515034818763956,1.3659272626621444,1.687630148463201,79.5,61.79985975566585,29.348367540388807,0.0,True
02788099999,KUOPIO MAANINKA,Finland,2913,0.055130362126003044,0.6984892751643605,2.087360727504464,91.3,63.1571428011223,27.35411970572116,3.6145670422439524,True
02789099999,RAUTAVAARA YLA-LUOSTA,Finland,2894,0.030533602489795707,0.8930727471546424,2.361850563967696,165.5,63.38764990019691,28.711783371104303,19.6643130145708,False
02791099999,JUUKA NIEMELA,Finland,2912,-0.06814969974559743,1.0562430311180147,2.690260830334932,115.0,63.21571899190132,29.268273523685025,3.657195396576996,True
02793099999,LIPERI TUISKAVANLUOTO,Finland,2913,-0.2167683625933316,0.8376326779879049,2.7533906360221416,79.5,62.55347945126279,29.71874532344691,0.0,True
02796099999,LIEKSA LAMPELA,Finland,2915,-0.16680038007209483,0.8857574181308557,2.3979970968979267,98.0,63.3175593826662,30.0034372132032,2.6736984884525357,True
02798099999,VALTIMO KK,Finland,2912,0.14097600035615013,0.7298497461135441,2.71448490215758,115.0,63.67731270650897,28.78505002199788,19.685871019686438,False
02830099999,KOUVOLA ANJALA,Finland,2914,-0.06366680409700476,0.8745726477663535,2.656002149602985,33.0,60.677114650527,26.827293189526586,13.473337611241162,False
02831099999,VIROLAHTI KOIVUNIEMI,Finland,2913,-0.41519195210921406,1.3055758049624469,1.604365743416515,5.0,60.51899241056316,27.66273752781018,2.036605312487527,True
02832099999,TOHMAJARVI KEMIE,Finland,2898,-0.04462934010928882,0.9092389292202009,2.613755004256358,90.0,62.21096717094945,30.36351947275969,22.072623689942102,False
02834099999,VIEREMA KAARAKKALA,Finland,2916,-0.01858085559065296,0.9601617451473231,1.9394636888215728,207.6,63.82076106444288,27.190666623243573,30.759586723154477,False
02917099999,KUOPIO,Finland,2881,-0.015212820967383281,0.6540927823003001,0.8930999026862467,98.5,63.002196780383066,27.8115445284474,0.0,True
02919099999,LAPPEENRANTA HIEKKAPAKKA,Finland,2916,-0.3429745081520866,0.844288647812533,1.7886473196247443,77.0,61.21570709139955,28.4693890531602,0.0,True
02929099999,JOENSUU,Finland,2857,0.2486067684121511,0.8112002601292947,1.9648694226921892,121.3,62.67322334767138,29.577896046193477,4.7205244252351655,True
02939099999,ILOMANTSI MEKRIJARVI,Finland,2907,0.08704536577086283,0.7862642109917348,1.6814394158252586,156.5,62.77979741479652,30.967168961452582,33.788722107803274,False
02947099999,MIKKELI,Finland,2911,-0.025072246251422497,0.8820206653056941,2.1132485487979213,100.3,61.685904314058725,27.16291373308846,6.463407048163178,True
02948099999,SAVONLINNA,Finland,2877,0.09066043942596999,0.7553008505485284,2.563329424181601,94.8,61.95993297466724,28.913488598810066,3.7469508084160825,True
02958099999,LAPPEENRANTA,Finland,2889,-0.3597491482542889,0.6739110973056487,1.7574106126601303,106.4,61.05504265733275,28.16834753493154,2.827576010465087,True
02966099999,UTTI,Finland,2865,-0.07349073373418423,0.640895135995474,1.9566328966240976,103.3,60.91195219521625,26.951493252186708,37.4415411313412,False
02967099999,KOTKA HAAPASAARI,Finland,2914,0.18169619966715095,0.8535305769855237,2.5839579503334558,5.5,60.27477700264355,27.225963267441387,0.0,True
02976099999,KOTKA RANKKI,Finland,2838,-0.11156188448690209,1.1561249572544936,2.7617824861720157,13.1,60.35861037831546,26.965908944733314,0.0,True
