sid,n,era5,cerra,headroom,name,country,elev,offset_km,era5_offset_km
02732099999,2916.0,1.0048787328463804,0.6565303903739793,0.3483483424724011,KUOPIO RITONIEMI,Finland,87.0,1.0081486104636113,7.749408176713321
02733099999,2899.0,1.4959969798698,1.069020374281999,0.42697660558780104,LAPPEENRANTA KONNUNSUO,Finland,46.4,2.0308622561662064,5.2535028161227215
02734099999,2908.0,1.3684528213772427,0.8477476280940378,0.5207051932832049,PARIKKALA KOITSANLAHTI,Finland,75.0,2.3069716297619154,5.960363515887215
02736099999,2915.0,0.9578574778128846,0.6632083145705109,0.29464916324237367,JUVA PARTALA,Finland,111.5,1.933958726246706,13.002590999475947
02759099999,2913.0,0.9066745034744398,0.7610226318047418,0.14565187166969795,PORVOO HARABACKA,Finland,23.5,3.06901317002892,12.626404249878426
02768099999,2912.0,1.0839147626516357,0.6703811732054333,0.41353358944620233,HEINOLA ASEMANTAUS,Finland,92.0,2.629954255361157,6.302635979918473
02771099999,2910.0,1.1647398768704502,0.795240877377946,0.3694989994925042,JOUTSA LEIVONMAKI SAVENAHO,Finland,146.0,2.192545757587913,14.365167816775573
02772099999,2916.0,1.3267534497077755,0.8150876204832063,0.5116658292245693,RANTASALMI RUKKASLUOTO,Finland,80.0,1.433853078892551,8.433450332004432
02778099999,2911.0,1.1488526683294555,1.3659272626621444,-0.21707459433268883,SAVONLINNA PUNKAHARJU,Finland,79.5,1.687630148463201,6.7385533232551165
02788099999,2913.0,1.0452507453302717,0.6984892751643605,0.3467614701659112,KUOPIO MAANINKA,Finland,91.3,2.087360727504464,11.969409842241063
02789099999,2894.0,1.1303940275023008,0.8930727471546424,0.23732128034765843,RAUTAVAARA YLA-LUOSTA,Finland,165.5,2.361850563967696,14.080899649878912
02791099999,2912.0,2.1126702760940197,1.0562430311180147,1.056427244976005,JUUKA NIEMELA,Finland,115.0,2.690260830334932,2.1366166835428317
02793099999,2913.0,1.3149847045158916,0.8376326779879049,0.4773520265279867,LIPERI TUISKAVANLUOTO,Finland,79.5,2.7533906360221416,7.1930865745814145
02796099999,2915.0,1.2711537930238095,0.8857574181308557,0.38539637489295375,LIEKSA LAMPELA,Finland,98.0,2.3979970968979267,8.100740126894824
