sid,name,country,fold,n,era5,cerra,aifs24,cerra_bias,headroom
26134099999,KUUSIKU,Estonia,1,639.0,1.0932,0.979,1.2334,-0.3272,0.1142
26135099999,TURI,Estonia,1,639.0,1.0042,0.8545,1.1804,-0.2922,0.1496
26141099999,VALKE-MAARJA,Estonia,1,623.0,1.1463,0.981,1.2375,-0.3912,0.1653
26144099999,JOGEVA,Estonia,1,640.0,1.2108,1.096,1.4073,-0.395,0.1148
26145099999,TILRIKOJA,Estonia,1,637.0,1.5417,1.7621,1.7942,0.0819,-0.2203
26157099999,GDOV,Russia,1,642.0,1.853,0.8014,1.9182,-0.2107,1.0516
26167099999,NIKOLAEVSKOE,Russia,3,643.0,1.1187,0.7421,1.1607,-0.3202,0.3766
26179099999,NOVGOROD,Russia,3,642.0,1.3491,0.8983,1.4191,-0.329,0.4508
26233099999,VILJANDI,Estonia,1,640.0,0.9838,0.9444,1.2401,-0.362,0.0395
26242099999,TARTU,Estonia,1,637.0,0.9199,1.1234,1.1683,-0.437,-0.2035
26258099999,PSKOV,Russia,1,643.0,1.1623,0.8175,1.364,-0.3717,0.3449
26268099999,DNO,Russia,3,639.0,1.6667,0.9784,1.7904,-0.1335,0.6883
26275099999,STARAYA RUSSA,Russia,3,643.0,1.135,0.794,1.4014,-0.4261,0.341
26285099999,KRESTCY,Russia,3,634.0,1.3312,0.8503,1.4918,-0.1943,0.4809
26291099999,BOROVICI,Russia,3,642.0,1.1764,0.8555,1.4846,-0.5222,0.3209
26298099999,BOLOGOE,Russia,3,643.0,1.054,0.8097,1.253,-0.3612,0.2444
26381099999,DEMJANSK,Russia,3,642.0,1.4767,0.9256,1.6995,-0.2881,0.551
26389099999,OSTASKOV,Russia,3,643.0,1.443,0.7371,1.7425,-0.2303,0.7059
26393099999,VYSNIJ VOLOCEK,Russia,3,642.0,1.0861,0.6757,1.3407,-0.1502,0.4104
27008099999,BABAEVO,Russia,2,652.0,1.6102,1.2463,1.7641,-0.5422,0.3639
27106099999,USTYUZHNA,Russia,2,654.0,1.1463,0.8562,1.4705,-0.4147,0.2901
27108099999,OHONY,Russia,2,637.0,1.2116,0.8767,1.496,-0.2975,0.3349
27208099999,MAKSATIKHA,Russia,2,654.0,1.2252,0.9079,1.5277,-0.3418,0.3173
