USAF,WBAN,name,lat,lon,elev
273290,99999,ROSTOV,57.2,39.417,101.0
273330,99999,KOSTROMA,57.733,40.783,126.0
273470,99999,IVANOVO,56.95,40.967,126.0
273550,99999,JUR'EVEC,57.333,43.117,132.0
273690,99999,KRASNYE BAKI,57.133,45.167,110.0
274020,99999,TVER',56.883,35.867,137.0
274170,99999,KLIN,56.35,36.75,167.0
274530,99999,GORODEC,56.683,43.433,103.0
274590,99999,STRIGINO,56.23,43.784,78.0
275070,99999,GAGARIN,55.517,35.033,194.0
275110,99999,NOVO-JERUSALIM,55.9,36.817,162.0
275155,99999,SHEREMETYEVO,55.973,37.415,189.6
275185,99999,VNUKOVO,55.592,37.261,208.8
275230,99999,PAVLOVSKIJ POSAD,55.767,38.683,135.0
275320,99999,VLADIMIR,56.117,40.35,172.0
275390,99999,GUS'-HRUSTAL'NYJ,55.6,40.65,136.0
275770,99999,SERGAC,55.533,45.5,125.0
276060,99999,MALOJAROSLAVEC,55.017,36.483,197.0
276110,99999,NARO-FOMINSK,55.383,36.7,193.0
276120,99999,MOSKVA VDNH (DOLGOPRUDNYJ),55.833,37.617,200.0
276430,99999,VYKSA,55.333,42.117,114.0
276530,99999,ARZAMAS,55.367,43.783,127.0
276650,99999,LUKOJANOV,55.033,44.5,219.0
370008,99999,DOMODEDOVO,55.409,37.906,179.2
