sid,name,country,lat,lon,elev,y_idx,x_idx,cell_lat,cell_lon,offset_km,fold
26144099999,JOGEVA,Estonia,58.75,26.417,71.0,16,21,58.76478485257348,26.459681966802094,2.997613854477101,4
26046099999,JOHVI,Estonia,59.333,27.383,75.0,30,28,59.34056764602516,27.435721081952494,3.1509308775182716,4
26045099999,KUNDA,Estonia,59.517,26.55,3.0,31,18,59.51014078030938,26.532240894700976,1.2781288768751138,4
26134099999,KUUSIKU,Estonia,58.967,24.733,52.0,16,2,58.98093393877979,24.714415432161985,1.905273358824994,4
26038099999,LENNART MERI TALLINN,Estonia,59.413,24.833,39.9,25,1,59.41978616357551,24.81208501254838,1.424120906269217,4
26058099999,NARVA-JOESUU,Estonia,59.389,28.117,29.9,33,35,59.392455655443676,28.157217316061065,2.3431250803633046,4
26038199999,PARNU,Estonia,58.417,24.467,47.0,4,2,58.40906751328199,24.466201975294183,0.8935722714673477,4
26242099999,TARTU,Estonia,58.307,26.69,66.8,8,26,58.32568482523508,26.729220993829017,3.1276939030198743,4
26145099999,TILRIKOJA,Estonia,58.867,26.95,34.0,19,26,58.84623902318117,26.98650569290095,3.160850673555139,4
26135099999,TURI,Estonia,58.817,25.417,65.0,14,10,58.79748650205988,25.408044564406083,2.2588638497977014,4
26141099999,VALKE-MAARJA,Estonia,59.133,26.233,123.0,23,17,59.143687279984974,26.253401693611295,1.6863099874851601,4
26233099999,VILJANDI,Estonia,58.367,25.6,86.0,6,14,58.37186741004038,25.59891415696015,0.5512064006235861,4
02768099999,HEINOLA ASEMANTAUS,Finland,61.2,26.05,92.0,64,5,61.21859802616257,26.078647170211752,2.629954255361157,1
02939099999,ILOMANTSI MEKRIJARVI,Finland,62.767,30.983,156.5,108,42,62.77979741479652,30.967168961452586,1.6814394158252586,3
02929099999,JOENSUU,Finland,62.663,29.608,121.3,102,30,62.67322334767138,29.577896046193473,1.9648694226921894,3
02771099999,JOUTSA LEIVONMAKI SAVENAHO,Finland,61.883,26.1,146.0,77,2,61.8637531276496,26.099023142374733,2.192545757587913,1
02791099999,JUUKA NIEMELA,Finland,63.233,29.233,115.0,112,24,63.21571899190132,29.268273523685025,2.6902608303349322,3
02736099999,JUVA PARTALA,Finland,61.9,27.883,111.5,82,19,61.891080809869614,27.913672045555614,1.933958726246706,3
02967099999,KOTKA HAAPASAARI,Finland,60.283,27.183,5.5,48,21,60.27477700264355,27.225963267441387,2.5839579503334553,1
02976099999,KOTKA RANKKI,Finland,60.383,26.967,13.1,49,18,60.35861037831546,26.965908944733314,2.7617824861720153,1
02830099999,KOUVOLA ANJALA,Finland,60.7,26.817,33.0,55,15,60.677114650526995,26.827293189526586,2.6560021496029855,1
02917099999,KUOPIO,Finland,63.007,27.798,98.5,104,12,63.002196780383066,27.8115445284474,0.8930999026862467,3
02788099999,KUOPIO MAANINKA,Finland,63.15,27.317,91.3,106,7,63.1571428011223,27.35411970572116,2.087360727504464,3
02732099999,KUOPIO RITONIEMI,Finland,62.8,27.9,87.0,100,14,62.7914204733773,27.904433991759163,1.0081486104636113,3
02965099999,LAHTI LAUNE,Finland,60.967,25.633,78.7,58,2,60.970530088059135,25.64421859043142,0.7362137214271481,1
02958099999,LAPPEENRANTA,Finland,61.045,28.144,106.4,66,26,61.05504265733275,28.16834753493154,1.7574106126601303,1
02919099999,LAPPEENRANTA HIEKKAPAKKA,Finland,61.2,28.467,77.0,70,28,61.21570709139955,28.4693890531602,1.7886473196247443,1
02733099999,LAPPEENRANTA KONNUNSUO,Finland,61.033,28.567,46.4,67,30,61.04956278356648,28.58098640563648,2.0308622561662064,1
