season,0,24,48,72,120,168
winter,1.231,1.674,1.827,2.122,3.143,4.508
spring,1.297,1.341,1.48,1.677,2.262,2.886
summer,1.67,1.543,1.683,1.85,2.2,2.77
autumn,1.135,1.1,1.207,1.355,1.81,2.385
