sid,name,country,fold,n,era5,cerra,aifs24,cerra_bias,headroom,lat,lon,cerra_offset_km,water_km,lake_km
22837099999,VYTEGRA,Russia,2,664.0,1.5778,1.0729,1.8523,-0.4402,0.5049,61.017,36.45,2.7141,17.392527130926087,17.392527130926087
22845099999,KARGOPOL',Russia,2,665.0,1.1613,0.7275,1.4346,-0.3405,0.4338,61.5,38.933,3.4524,12.298373876248844,140.2230366238016
22892099999,VYBORG,Russia,4,666.0,1.2897,0.742,1.3823,-0.2049,0.5478,60.717,28.733,2.1074,19.83053201505194,89.53351327854838
22912099999,OLONEC,Russia,2,666.0,1.9364,0.9327,2.1793,-0.3216,1.0037,60.983,32.983,2.2373,19.83053201505194,19.83053201505194
22913099999,LODEJNOE POLE,Russia,2,666.0,1.5521,0.8404,1.958,-0.2079,0.7117,60.717,33.55,3.1802,39.66106403010388,39.66106403010388
22917099999,NOVAJA LADOGA,Russia,3,665.0,1.4765,0.8534,1.7161,-0.2119,0.6232,60.117,32.317,1.5247,5.5,5.5
22925099999,VINNICY,Russia,2,666.0,1.2374,0.7926,1.6495,-0.4053,0.4448,60.633,34.783,1.5117,56.625965775428504,56.625965775428504
22939099999,BELOZERSK,Russia,2,665.0,1.6248,0.7635,1.5362,-0.1189,0.8614,60.017,37.75,2.9197,5.5,150.2215031212243
26038099999,LENNART MERI TALLINN,Estonia,1,640.0,1.2681,1.3742,1.3827,0.1105,-0.1061,59.413,24.833,1.4191,17.392527130926087,354.44075668579654
26038199999,PARNU,Estonia,1,640.0,1.8661,2.1635,1.7465,-0.1766,-0.2974,58.417,24.467,0.894,5.5,421.8180887539082
26045099999,KUNDA,Estonia,1,639.0,1.6533,1.4844,1.7318,-0.3515,0.1689,59.517,26.55,1.2742,7.778174593052023,264.45793616376875
26046099999,JOHVI,Estonia,1,638.0,1.1966,0.8307,1.3582,-0.1744,0.3659,59.333,27.383,3.156,16.5,221.23403897230642
26058099999,NARVA-JOESUU,Estonia,1,630.0,1.9292,0.8932,1.9316,-0.0897,1.036,59.389,28.117,2.3484,15.556349186104047,180.413414135424
26059099999,KINGISEPP,Russia,1,641.0,1.1838,0.7773,1.3707,-0.4143,0.4065,59.367,28.6,2.6403,38.890872965260115,155.75782484356927
26063099999,PULKOVO,Russia,3,643.0,2.2292,1.9247,2.2115,-1.2012,0.3045,59.8,30.263,2.0437,15.556349186104047,50.70749451511088
26069099999,BELOGORKA,Russia,3,643.0,1.2666,0.8293,1.492,-0.2147,0.4373,59.35,30.133,0.57,62.709648380452585,88.8552193177193
26072099999,SHLISSEL'BURG,Russia,3,643.0,1.4274,0.8297,1.4713,-0.2642,0.5978,59.933,31.0,0.5844,7.778174593052023,7.778174593052023
26078099999,LJUBAN',Russia,3,642.0,1.3067,1.0444,1.4926,-0.4043,0.2623,59.35,31.233,1.9889,71.5,71.5
26080099999,KIRISHI,Russia,3,643.0,1.2515,0.9443,1.3353,-0.6061,0.3072,59.45,32.033,1.9968,66.22877018335763,66.22877018335763
26094099999,TIHVIN,Russia,2,643.0,1.1953,0.7169,1.4449,-0.2928,0.4784,59.65,33.55,0.5658,86.0886171337419,86.0886171337419
26099099999,EFIMOVSKAJA,Russia,2,639.0,1.2869,0.8156,1.5901,-0.278,0.4713,59.5,34.7,1.3763,146.75830470538966,146.75830470538966
26134099999,KUUSIKU,Estonia,1,639.0,1.0932,0.979,1.2334,-0.3272,0.1142,58.967,24.733,1.9016,66.0,383.0306776225633
26135099999,TURI,Estonia,1,639.0,1.0042,0.8545,1.1804,-0.2922,0.1496,58.817,25.417,2.2583,62.22539674441619,353.1154202240395
26141099999,VALKE-MAARJA,Estonia,1,623.0,1.1463,0.981,1.2375,-0.3912,0.1653,59.133,26.233,1.6896,49.5,292.8975930252757
26144099999,JOGEVA,Estonia,1,640.0,1.2108,1.096,1.4073,-0.395,0.1148,58.75,26.417,3.0018,32.07023542164915,299.68691996815613
26145099999,TILRIKOJA,Estonia,1,637.0,1.5417,1.7621,1.7942,0.0819,-0.2203,58.867,26.95,3.1652,0.0,268.37520377262877
26157099999,GDOV,Russia,1,642.0,1.853,0.8014,1.9182,-0.2107,1.0516,58.733,27.833,1.5498,5.5,235.41028014935964
26167099999,NIKOLAEVSKOE,Russia,3,643.0,1.1187,0.7421,1.1607,-0.3202,0.3766,58.567,29.8,3.1177,83.23010272731857,172.7035031491834
26179099999,NOVGOROD,Russia,3,642.0,1.3491,0.8983,1.4191,-0.329,0.4508,58.517,31.25,2.5659,15.556349186104047,163.52675622050356
26233099999,VILJANDI,Estonia,1,640.0,0.9838,0.9444,1.2401,-0.362,0.0395,58.367,25.6,0.5498,22.0,365.57420587344507
26242099999,TARTU,Estonia,1,637.0,0.9199,1.1234,1.1683,-0.437,-0.2035,58.307,26.69,3.1312,38.890872965260115,313.54824190226293
26258099999,PSKOV,Russia,1,643.0,1.1623,0.8175,1.364,-0.3717,0.3449,57.784,28.396,1.4791,22.677080940897135,292.38074492004426
26268099999,DNO,Russia,3,639.0,1.6667,0.9784,1.7904,-0.1335,0.6883,57.817,29.95,2.5366,82.5,253.0597755472015
26275099999,STARAYA RUSSA,Russia,3,643.0,1.135,0.794,1.4014,-0.4261,0.341,58.017,31.317,2.344,17.392527130926087,217.5804448933773
26285099999,KRESTCY,Russia,3,634.0,1.3312,0.8503,1.4918,-0.1943,0.4809,58.267,32.533,2.0975,57.42168579900803,200.20302195521427
26291099999,BOROVICI,Russia,3,642.0,1.1764,0.8555,1.4846,-0.5222,0.3209,58.417,33.9,2.1214,132.11453364410744,217.92774031774846
26298099999,BOLOGOE,Russia,3,643.0,1.054,0.8097,1.253,-0.3612,0.2444,57.9,34.03,0.9785,88.8552193177193,273.23433166423285
26381099999,DEMJANSK,Russia,3,642.0,1.4767,0.9256,1.6995,-0.2881,0.551,57.65,32.467,3.6682,54.16871790987857,268.8256870166986
26389099999,OSTASKOV,Russia,3,643.0,1.443,0.7371,1.7425,-0.2303,0.7059,57.133,33.117,2.0968,19.83053201505194,334.41628249832576
26393099999,VYSNIJ VOLOCEK,Russia,3,642.0,1.0861,0.6757,1.3407,-0.1502,0.4104,57.55,34.567,1.675,94.62557793746889,323.0050309205725
27008099999,BABAEVO,Russia,2,652.0,1.6102,1.2463,1.7641,-0.5422,0.3639,59.4,35.9,2.6767,113.38540470448567,172.1772342674838
27106099999,USTYUZHNA,Russia,2,654.0,1.1463,0.8562,1.4705,-0.4147,0.2901,58.85,36.433,1.3625,154.0,239.61323001871162
27108099999,OHONY,Russia,2,637.0,1.2116,0.8767,1.496,-0.2975,0.3349,58.567,35.633,1.8169,199.9006002992487,255.8534736914862
27208099999,MAKSATIKHA,Russia,2,654.0,1.2252,0.9079,1.5277,-0.3418,0.3173,57.8,35.883,2.3008,176.08591652940333,332.55676207228146
